Run,Group,Tag
SRR16873662,SRR16873662,1
SRR16873663,SRR16873663,1
SRR16873664,SRR16873664,1
SRR16873665,SRR16873665,1
SRR16873666,SRR16873666,1
SRR16873667,SRR16873667,1
SRR16873668,SRR16873668,0
SRR16873669,SRR16873669,0
SRR16873670,SRR16873670,0
SRR16873671,SRR16873671,0
SRR16873672,SRR16873672,0
SRR16873673,SRR16873673,0
SRR16873674,SRR16873674,0
SRR16873675,SRR16873675,0
SRR16873676,SRR16873676,0
SRR16873677,SRR16873677,0
SRR16873678,SRR16873678,1
SRR16873679,SRR16873679,0
SRR16873680,SRR16873680,0
SRR16873681,SRR16873681,0
SRR16873682,SRR16873682,0
SRR16873683,SRR16873683,0
SRR16873684,SRR16873684,1
SRR16873685,SRR16873685,1
SRR16873686,SRR16873686,1
SRR16873687,SRR16873687,1
SRR16873688,SRR16873688,1
SRR16873689,SRR16873689,1
SRR16873690,SRR16873690,1
SRR16873691,SRR16873691,1
SRR16873692,SRR16873692,1
SRR16873693,SRR16873693,1
SRR16873694,SRR16873694,1
SRR16873695,SRR16873695,1
SRR16873696,SRR16873696,1
SRR16873697,SRR16873697,1
SRR16873698,SRR16873698,1
SRR16873699,SRR16873699,1
SRR16873700,SRR16873700,1
SRR16873701,SRR16873701,1
SRR16873702,SRR16873702,1
SRR16873703,SRR16873703,1
SRR16873704,SRR16873704,1
SRR16873705,SRR16873705,1
SRR16873706,SRR16873706,1
SRR16873707,SRR16873707,1
SRR16873708,SRR16873708,1
SRR16873709,SRR16873709,1
SRR16873710,SRR16873710,1
SRR16873711,SRR16873711,1
SRR16873712,SRR16873712,1
SRR16873713,SRR16873713,1
SRR16873714,SRR16873714,1
SRR16873715,SRR16873715,1
SRR16873716,SRR16873716,0
SRR16873717,SRR16873717,0
SRR16873718,SRR16873718,0
SRR16873719,SRR16873719,0
SRR16873720,SRR16873720,0
SRR16873721,SRR16873721,0
SRR16873722,SRR16873722,1
SRR16873723,SRR16873723,0
SRR16873724,SRR16873724,0
SRR16873725,SRR16873725,0
SRR16873726,SRR16873726,0
SRR16873727,SRR16873727,0
SRR16873728,SRR16873728,0
SRR16873729,SRR16873729,0
SRR16873730,SRR16873730,0
SRR16873731,SRR16873731,0
SRR16873732,SRR16873732,0
SRR16873733,SRR16873733,1
SRR16873734,SRR16873734,0
SRR16873735,SRR16873735,0
SRR16873736,SRR16873736,0
SRR16873737,SRR16873737,0
SRR16873738,SRR16873738,0
SRR16873739,SRR16873739,0
SRR16873740,SRR16873740,0
SRR16873741,SRR16873741,0
SRR16873742,SRR16873742,0
SRR16873743,SRR16873743,0
SRR16873744,SRR16873744,1
SRR16873745,SRR16873745,0
SRR16873746,SRR16873746,0
SRR16873747,SRR16873747,0
SRR16873748,SRR16873748,0
SRR16873749,SRR16873749,0
SRR16873750,SRR16873750,0
SRR16873751,SRR16873751,0
SRR16873752,SRR16873752,0
SRR16873753,SRR16873753,0
SRR16873754,SRR16873754,0
SRR16873755,SRR16873755,1
SRR16873756,SRR16873756,0
SRR16873757,SRR16873757,0
SRR16873758,SRR16873758,0
SRR16873759,SRR16873759,0
SRR16873760,SRR16873760,0
SRR16873761,SRR16873761,0
SRR16873762,SRR16873762,0
SRR16873763,SRR16873763,0
SRR16873764,SRR16873764,0
SRR16873765,SRR16873765,0
SRR16873766,SRR16873766,1
SRR16873767,SRR16873767,0
SRR16873768,SRR16873768,0
SRR16873769,SRR16873769,0
SRR16873770,SRR16873770,0
SRR16873771,SRR16873771,0
SRR16873772,SRR16873772,0
SRR16873773,SRR16873773,1
SRR16873774,SRR16873774,1
SRR16873775,SRR16873775,1
SRR16873776,SRR16873776,1
SRR16873777,SRR16873777,1
SRR16873778,SRR16873778,1
SRR16873779,SRR16873779,1
